Órgão;Unidade Gestora;Credor;Fase;Contrato;Inscrição Siafi;Moeda de Origem;Saldo Devedor de Curto Prazo;Saldo Devedor de Longo Prazo;Saldo Devedor Total;Juros Apropriados;Estoque
;;FIDA;;;;;4.080.323,59;2.446.069,55;6.526.393,14;10.581,62;6.536.974,76
;;;Desembolsando e Amortizando;FIDA437;11770;EUR;3.361.780,64;1.790.270,65;5.152.051,29;6.138,65;5.158.189,94
;;;Desembolsando e Amortizando;FIDA436-SDR;1619;SDR;718.542,95;655.798,90;1.374.341,85;4.442,97;1.378.784,81
;;JBIC;;;;;6.644.317,62;56.476.699,77;63.121.017,38;301.503,55;63.422.520,94
;;;Amortizando;JBICBZ-P14;1515;JPY;6.644.317,62;56.476.699,77;63.121.017,38;301.503,55;63.422.520,94
;;KFW;;;;;29.324.407,03;20.734.293,18;50.058.700,21;955.265,64;51.013.965,85
;;;Amortizando;KFW(PI);1361;EUR;2.259.568,06;0;2.259.568,06;0;2.259.568,06
;;;Amortizando;KFW8990-0102;1384;USD;27.064.838,97;20.734.293,18;47.799.132,15;955.265,64;48.754.397,79
29208 - CPRM;;;;;;;0;216.155,56;216.155,56;2.289,62;218.445,18
;495130 - 495130-CPRM;;;;;;0;216.155,56;216.155,56;2.289,62;218.445,18
;;RBC-Cayman;;;;;0;216.155,56;216.155,56;2.289,62;218.445,18
;;;Amortizando;RBC-CAYMAN;501621;USD;0;216.155,56;216.155,56;2.289,62;218.445,18
31000 - CMDO MARINHA;;;;;;;784.705.276,07;1.610.720.826,94;2.395.426.103,01;4.730.681,27;2.400.156.784,28
;772010 - DIR. DE GESTAO ORÇAMENTARIA OP. DE CREDITO;;;;;;784.705.276,07;1.610.720.826,94;2.395.426.103,01;4.730.681,27;2.400.156.784,28
;;BNP;;;;;784.705.276,07;1.610.720.826,94;2.395.426.103,01;4.730.681,27;2.400.156.784,28
;;;Desembolsando e Amortizando;PROSUB1BRNAV;1599;EUR;784.705.276,07;1.610.720.826,94;2.395.426.103,01;4.730.681,27;2.400.156.784,28
